                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  4.302,                 4.6376,                 4.3902,                0.00208,                 0.1155,                0.02417,                0.00981,                 4.0255,                 4.4843,                 4.1368,                 0.0802,                 0.0022,                 0.0022
                      1,                 4.2355,                 4.2838,                 4.1898,                0.00193,                 0.1155,                0.03172,                0.01177,                 3.9583,                 4.2388,                 4.0416,               0.059485,              0.0044852,              0.0044852
                      2,                 3.9613,                 3.4815,                 3.7975,                0.00194,                 0.1155,                0.01392,                0.00656,                 3.9239,                 4.2521,                 3.9483,               0.038755,              0.0067551,              0.0067551
                      3,                 3.4677,                 3.1361,                 3.2906,                0.00272,                0.26394,                0.00239,                0.00059,                 3.6399,                 4.0619,                 3.6557,                0.01801,              0.0090099,              0.0090099
                      4,                 3.0812,                 2.8887,                 2.9271,                0.03691,                 0.0877,                0.01747,                0.00429,                 3.3301,                 4.4339,                 3.4507,               0.009868,               0.009868,               0.009868
                      5,                 2.7891,                 2.6284,                 2.6673,                0.66806,                0.00534,                0.00146,                0.00028,                  3.778,                    inf,                 5.1885,               0.009868,               0.009868,               0.009868
                      6,                 2.4783,                 2.3555,                 2.4375,                0.26202,                0.03891,                0.02763,                0.01095,                 3.0896,                 4.3273,                 3.3662,               0.009835,               0.009835,               0.009835
                      7,                 2.2775,                 2.1813,                 2.2622,                0.22683,                0.21316,                0.12287,                0.04073,                  2.625,                  5.088,                 2.9695,               0.009802,               0.009802,               0.009802
                      8,                 2.1519,                 2.1034,                 2.1754,                 0.3787,                0.27993,                0.21782,                0.07778,                 2.3083,                 5.4646,                 2.6273,               0.009769,               0.009769,               0.009769
                      9,                 2.0446,                 1.9776,                  2.076,                0.16655,                0.22207,                0.16637,                0.05636,                 2.7523,                 4.0449,                 2.9879,               0.009736,               0.009736,               0.009736
                     10,                 2.0109,                 1.9602,                 2.0372,                0.53439,                0.14338,                0.14357,                0.05313,                 2.6333,                 3.1941,                 2.8638,               0.009703,               0.009703,               0.009703
                     11,                 1.9547,                 1.8992,                 1.9803,                0.53345,                0.33545,                0.30934,                0.12382,                 2.1413,                 2.3798,                 2.2982,                0.00967,                0.00967,                0.00967
                     12,                 1.9274,                 1.8592,                   1.95,                0.37965,                0.41502,                0.36622,                0.14459,                 2.1031,                 2.3103,                 2.2448,               0.009637,               0.009637,               0.009637
                     13,                 1.8981,                 1.8015,                 1.9238,                0.23187,                0.29695,                0.21347,                0.08298,                 2.3535,                 2.6289,                 2.4019,               0.009604,               0.009604,               0.009604
                     14,                 1.8441,                 1.7511,                 1.8576,                0.29497,                0.35709,                0.25408,                0.10268,                 2.3651,                 3.1568,                 2.6148,               0.009571,               0.009571,               0.009571
                     15,                 1.8454,                  1.743,                 1.8626,                0.45185,                0.39321,                0.39855,                0.15903,                  2.115,                 2.1722,                 2.2538,               0.009538,               0.009538,               0.009538
                     16,                  1.808,                 1.7007,                 1.8463,                0.60981,                0.22441,                 0.2433,                0.10558,                 2.3312,                 3.2139,                 2.6648,               0.009505,               0.009505,               0.009505
                     17,                 1.7904,                 1.6972,                 1.8232,                 0.2769,                0.24974,                0.18963,                0.07323,                 2.5667,                 2.9848,                  2.761,               0.009472,               0.009472,               0.009472
                     18,                 1.7784,                 1.6616,                 1.8017,                0.66612,                0.14746,                0.17243,                0.07748,                  2.345,                 3.4236,                 2.5429,               0.009439,               0.009439,               0.009439
                     19,                 1.7616,                 1.6516,                 1.7932,                 0.3196,                0.32824,                0.27186,                0.10996,                 2.3975,                 2.6621,                 2.5969,               0.009406,               0.009406,               0.009406
                     20,                  1.766,                 1.6539,                 1.8064,                0.38459,                0.42561,                0.38403,                0.17171,                 1.9694,                 2.1369,                  2.128,               0.009373,               0.009373,               0.009373
                     21,                 1.7526,                 1.6403,                 1.7905,                0.28145,                0.30721,                0.25267,                0.09973,                 2.2864,                 2.4817,                 2.4493,                0.00934,                0.00934,                0.00934
                     22,                 1.7152,                 1.5937,                 1.7673,                0.35972,                0.37705,                0.33591,                 0.1416,                 2.1002,                 2.1684,                 2.3204,               0.009307,               0.009307,               0.009307
                     23,                 1.6931,                 1.5693,                 1.7396,                0.56177,                0.44026,                0.40878,                0.17352,                 2.0201,                 1.9984,                  2.177,               0.009274,               0.009274,               0.009274
                     24,                 1.7051,                 1.5733,                 1.7491,                0.67109,                0.48869,                0.54431,                0.24347,                 1.8743,                 1.7088,                 2.0214,               0.009241,               0.009241,               0.009241
                     25,                 1.6784,                 1.5656,                  1.735,                0.45668,                0.47252,                 0.4469,                0.18933,                 2.0154,                 2.0493,                 2.0927,               0.009208,               0.009208,               0.009208
                     26,                 1.7109,                   1.55,                 1.7475,                0.48387,                 0.4005,                0.39158,                0.17771,                 2.0179,                 2.1084,                 2.0666,               0.009175,               0.009175,               0.009175
                     27,                 1.6697,                 1.5123,                 1.7206,                 0.5333,                0.53342,                 0.5345,                0.23717,                 1.8413,                 1.7161,                 1.9979,               0.009142,               0.009142,               0.009142
                     28,                 1.6561,                  1.528,                 1.7212,                0.58518,                 0.4813,                0.55545,                0.25743,                 1.8246,                 1.7228,                 1.9981,               0.009109,               0.009109,               0.009109
                     29,                  1.665,                 1.5311,                 1.7256,                0.59332,                0.48234,                0.48591,                0.20438,                 1.9772,                  1.883,                  2.025,               0.009076,               0.009076,               0.009076
                     30,                 1.6539,                 1.5129,                 1.7192,                0.53161,                0.46968,                0.49243,                0.22172,                 1.9164,                 1.8355,                  2.053,               0.009043,               0.009043,               0.009043
                     31,                 1.6611,                 1.4851,                 1.7093,                0.57245,                0.51775,                0.56619,                0.25491,                 1.8527,                 1.7501,                 1.9554,                0.00901,                0.00901,                0.00901
                     32,                 1.6445,                 1.4818,                 1.7027,                 0.5341,                0.50449,                0.52692,                 0.2442,                 1.8717,                  1.768,                 2.0032,               0.008977,               0.008977,               0.008977
                     33,                 1.6507,                 1.4966,                 1.7077,                 0.5294,                 0.5981,                0.58255,                0.27039,                 1.7873,                 1.7176,                 1.9156,               0.008944,               0.008944,               0.008944
                     34,                 1.6194,                 1.4442,                 1.6787,                0.58637,                0.50877,                0.53064,                0.24493,                 1.8785,                 1.7935,                 1.9319,               0.008911,               0.008911,               0.008911
                     35,                 1.6195,                 1.4641,                 1.6763,                 0.6048,                0.56446,                0.58089,                0.25677,                 1.8353,                 1.6312,                 1.9491,               0.008878,               0.008878,               0.008878
                     36,                 1.6266,                 1.4596,                 1.6804,                 0.6038,                 0.5106,                0.56609,                0.27163,                 1.7743,                  1.648,                 1.9073,               0.008845,               0.008845,               0.008845
                     37,                 1.6086,                 1.4512,                 1.6667,                0.62868,                0.52655,                0.55201,                0.24657,                 1.8477,                 1.7407,                 1.9575,               0.008812,               0.008812,               0.008812
