                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 4.3115,                 4.5001,                 4.1687,                0.00225,                 0.1155,                0.00614,                0.00254,                 3.9722,                 4.3266,                 4.0374,                 0.0802,                 0.0022,                 0.0022
                      1,                  4.175,                 4.0197,                 3.8632,                0.00208,                0.16979,                0.01026,                0.00385,                 3.9493,                 3.9948,                 3.8568,               0.059485,              0.0044852,              0.0044852
                      2,                 3.9476,                 3.3729,                 3.5709,                  1e-05,                 0.0119,                  2e-05,                  1e-05,                 3.9614,                 4.0516,                 3.7721,               0.038755,              0.0067551,              0.0067551
                      3,                  3.483,                 3.1037,                 3.2213,                0.01121,                0.19584,                0.00728,                 0.0024,                 3.8862,                 4.0703,                 3.6505,                0.01801,              0.0090099,              0.0090099
                      4,                 2.9694,                 2.8271,                 2.8764,                0.68296,                0.01755,                0.00501,                0.00113,                 3.4294,                 4.7432,                 3.7312,               0.009868,               0.009868,               0.009868
                      5,                 2.5983,                 2.4981,                 2.5708,                0.71023,                0.03516,                 0.0224,                0.00554,                 3.4997,                 6.5102,                 3.6649,               0.009868,               0.009868,               0.009868
                      6,                 2.3539,                 2.2658,                 2.3834,                0.49765,                0.13423,                0.09203,                0.03207,                 2.6574,                 4.3856,                  3.037,               0.009835,               0.009835,               0.009835
                      7,                  2.213,                 2.1125,                 2.2541,                0.29886,                0.15544,                0.09976,                0.03135,                 2.6167,                 4.7694,                 3.0955,               0.009802,               0.009802,               0.009802
                      8,                 2.1125,                 1.9965,                 2.1568,                0.58203,                0.06213,                0.06511,                0.02197,                 3.0074,                 6.5436,                 3.2856,               0.009769,               0.009769,               0.009769
                      9,                 2.0043,                 1.9173,                 2.0736,                0.28826,                0.08367,                0.07582,                 0.0299,                 2.8346,                 4.1301,                 3.1719,               0.009736,               0.009736,               0.009736
                     10,                 1.9366,                 1.8534,                 2.0056,                0.33609,                 0.3216,                0.27619,                0.09782,                 2.4473,                 2.4539,                 2.5283,               0.009703,               0.009703,               0.009703
                     11,                 1.9122,                 1.8245,                 1.9908,                0.26228,                0.33419,                0.26262,                0.09988,                 2.2552,                 2.6028,                 2.4979,                0.00967,                0.00967,                0.00967
                     12,                 1.8745,                 1.7821,                 1.9632,                0.42838,                0.48764,                0.47127,                0.19958,                 1.9508,                  1.877,                 2.1773,               0.009637,               0.009637,               0.009637
                     13,                 1.8537,                 1.7485,                 1.9175,                0.62764,                0.41441,                0.46219,                0.19525,                  2.016,                 2.0975,                 2.2515,               0.009604,               0.009604,               0.009604
                     14,                 1.8258,                 1.7128,                 1.8916,                0.33489,                0.40215,                0.37594,                0.15365,                 1.9896,                  2.185,                 2.2952,               0.009571,               0.009571,               0.009571
                     15,                 1.8173,                 1.7176,                 1.9055,                0.53092,                0.41023,                0.40126,                0.16241,                 1.9789,                 2.1731,                 2.2563,               0.009538,               0.009538,               0.009538
                     16,                 1.7748,                 1.6887,                 1.8564,                0.62468,                0.40206,                0.46334,                0.19792,                 1.9854,                 1.8599,                 2.2042,               0.009505,               0.009505,               0.009505
                     17,                 1.7432,                 1.5938,                 1.8219,                0.49652,                0.44985,                0.47945,                0.21361,                 1.9314,                 1.9196,                 2.1668,               0.009472,               0.009472,               0.009472
                     18,                 1.7427,                 1.6069,                 1.8231,                0.17481,                0.19196,                0.14683,                0.04782,                 2.6248,                 2.8872,                  2.713,               0.009439,               0.009439,               0.009439
                     19,                 1.7257,                 1.5874,                  1.802,                0.30418,                 0.3218,                0.28203,                 0.1216,                 2.2169,                 2.4434,                 2.4351,               0.009406,               0.009406,               0.009406
                     20,                 1.7454,                 1.5725,                 1.8052,                0.50641,                  0.546,                0.56955,                0.24371,                 1.9395,                 1.6406,                  2.125,               0.009373,               0.009373,               0.009373
                     21,                 1.7193,                 1.5703,                 1.8058,                0.54624,                0.49319,                0.50237,                0.22756,                 1.8079,                 1.8429,                 2.0312,                0.00934,                0.00934,                0.00934
                     22,                 1.6904,                 1.5695,                 1.7978,                0.58146,                0.20529,                0.22838,                0.09221,                 2.5453,                 2.7865,                 2.7713,               0.009307,               0.009307,               0.009307
                     23,                 1.6807,                 1.5181,                 1.7596,                0.49305,                0.47845,                 0.5328,                0.24752,                 1.8947,                  1.861,                 2.0867,               0.009274,               0.009274,               0.009274
                     24,                  1.657,                 1.4928,                  1.745,                0.46994,                0.46053,                 0.4502,                0.18941,                 1.9769,                 1.9917,                 2.1698,               0.009241,               0.009241,               0.009241
                     25,                 1.6843,                 1.5124,                 1.7642,                0.53998,                0.51383,                0.49358,                0.21331,                 1.9293,                 1.8605,                 2.1215,               0.009208,               0.009208,               0.009208
                     26,                 1.6627,                 1.5303,                 1.7541,                0.52631,                0.46485,                0.50206,                0.22361,                  1.906,                 1.7761,                 2.1048,               0.009175,               0.009175,               0.009175
                     27,                 1.6583,                 1.4877,                 1.7422,                 0.3409,                 0.2687,                0.23282,                0.10336,                 2.4419,                 2.4474,                 2.7579,               0.009142,               0.009142,               0.009142
                     28,                 1.6539,                 1.4818,                 1.7352,                  0.507,                0.34688,                0.35082,                0.16423,                 2.0546,                 2.1757,                 2.2172,               0.009109,               0.009109,               0.009109
                     29,                  1.645,                 1.4696,                 1.7307,                0.49354,                0.49031,                0.56022,                0.24853,                 1.8934,                  1.743,                 2.1389,               0.009076,               0.009076,               0.009076
                     30,                 1.6219,                 1.4433,                 1.6982,                0.59057,                0.55214,                 0.6209,                0.29038,                 1.7581,                 1.6212,                 1.9517,               0.009043,               0.009043,               0.009043
                     31,                  1.628,                 1.4577,                 1.7277,                0.50269,                0.43859,                0.45216,                0.18881,                 1.9585,                 1.9375,                 2.2141,                0.00901,                0.00901,                0.00901
                     32,                 1.6071,                 1.4412,                 1.7098,                0.58862,                0.57891,                0.63598,                0.30264,                 1.7633,                 1.5315,                 2.0007,               0.008977,               0.008977,               0.008977
                     33,                 1.6248,                 1.4341,                 1.7155,                0.72186,                0.52862,                 0.5862,                0.27968,                 1.7864,                 1.6127,                 2.0244,               0.008944,               0.008944,               0.008944
                     34,                 1.5813,                 1.4096,                 1.6722,                0.51641,                0.57252,                0.58822,                0.27688,                 1.8339,                 1.5723,                 2.0274,               0.008911,               0.008911,               0.008911
                     35,                 1.5758,                 1.4209,                 1.6791,                0.51608,                0.58875,                0.60756,                0.27944,                  1.762,                 1.5393,                 1.9903,               0.008878,               0.008878,               0.008878
                     36,                 1.5815,                 1.4199,                 1.6951,                0.72846,                0.58633,                0.66487,                 0.3166,                 1.7117,                 1.4915,                  1.957,               0.008845,               0.008845,               0.008845
                     37,                 1.5967,                 1.4067,                 1.6886,                0.71197,                0.52795,                0.60616,                0.28287,                 1.8242,                 1.5561,                 2.0271,               0.008812,               0.008812,               0.008812
                     38,                 1.5744,                 1.4085,                 1.6778,                0.56848,                0.53336,                 0.5818,                0.27125,                 1.8376,                  1.612,                 2.0179,               0.008779,               0.008779,               0.008779
                     39,                  1.584,                    1.4,                  1.678,                0.56366,                0.47197,                0.52398,                0.24041,                 1.9163,                 1.6949,                 2.0686,               0.008746,               0.008746,               0.008746
                     40,                  1.564,                 1.3707,                 1.6583,                0.50953,                 0.5856,                0.56974,                0.26828,                 1.8278,                 1.6298,                 1.9816,               0.008713,               0.008713,               0.008713
                     41,                 1.5688,                 1.3736,                 1.6756,                0.52816,                 0.5323,                0.59712,                  0.284,                 1.8306,                 1.5787,                 2.0153,                0.00868,                0.00868,                0.00868
